,Venue Weighted Rating,Venue Review Count,Venue Price,Venue Category,Venue Category 0,Venue Category 1,Venue Category 2,Venue Category 3,Neighborhood 0,Distance to Neighborhood 0,Neighborhood 1,Neighborhood 2,Neighborhood 3,Neighborhood 4,Neighborhood 5,Neighborhood 6,Neighborhood 7,Neighborhood 8
132,3.3011363636363638,176,$$,Liquor Store,beer_and_wine,none,none,none,Canoga Park,233,none,none,none,none,none,none,none,none
133,3.5,132,$$,Hotel,hotels,none,none,none,Beverly Grove,498,none,none,none,none,none,none,none,none
134,4.0,472,$$,Coffee Shop,coffee,desserts,none,none,Koreatown,323,none,none,none,none,none,none,none,none
135,4.5,253,$,Kosher Restaurant,bakeries,pizza,cafes,none,Pico Robertson,209,none,none,none,none,none,none,none,none
136,3.5,261,$,Korean Restaurant,korean,none,none,none,Century City,429,none,none,none,none,none,none,none,none
137,2.894878706199461,371,$$,Sporting Goods Shop,sportgoods,none,none,none,Northridge,239,none,none,none,none,none,none,none,none
138,2.894878706199461,371,$$,Sporting Goods Shop,sportgoods,none,none,none,Garvanza,482,none,none,none,none,none,none,none,none
139,4.0,157,$$,Cocktail Bar,cocktailbars,none,none,none,Los Feliz,312,none,none,none,none,none,none,none,none
140,3.197887323943662,710,$$,Pizza Place,pizza,sandwiches,salad,none,Eagle Rock,80,none,none,none,none,none,none,none,none
141,4.5,78,$,Burger Joint,burgers,none,none,none,Florence,56,none,none,none,none,none,none,none,none
142,4.0,1954,$$,Fried Chicken Joint,chickenshop,donuts,coffee,none,Financial District,437,none,none,none,none,none,none,none,none
143,3.7903225806451615,217,$$,Mexican Restaurant,mexican,none,none,none,Florence,136,none,none,none,none,none,none,none,none
144,3.5,540,$$,Andhra Restaurant,diners,breakfast_brunch,tradamerican,none,Tarzana,326,none,none,none,none,none,none,none,none
145,4.5,199,$,Coffee Shop,coffee,salad,sandwiches,none,Atwater Village,462,none,none,none,none,none,none,none,none
146,4.0,339,$$,Bar,cocktailbars,theater,magicians,none,Hollywood,480,none,none,none,none,none,none,none,none
147,5.0,178,$$,Beer Store,beer_and_wine,none,none,none,West Los Angeles,401,none,none,none,none,none,none,none,none
148,4.0,521,$$$,American Restaurant,italian,none,none,none,Edendale,223,none,none,none,none,none,none,none,none
149,4.0,1298,$$,Arts & Crafts Store,artsupplies,hobbyshops,framing,none,West Los Angeles,465,none,none,none,none,none,none,none,none
150,4.0,1298,$$,Arts & Crafts Store,artsupplies,hobbyshops,framing,none,Fairfax,435,none,none,none,none,none,none,none,none
151,3.5,135,$$$,Spa,spas,massage,skincare,none,Hollywood,482,none,none,none,none,none,none,none,none
